# n l fcenter (muHz) fcenter_err (muHz) Q Q_err
0  2  0.30945 0.25  
0  3  0.46850 0.15  
0  4  0.64682 0.10  
0  5  0.84002 0.10  
0  6  1.03755 0.10  
0  7  1.23105 0.10  
0  8  1.41285 0.10  
0  9  1.57755 0.15  
0 10  1.72560 0.20  
0 11  1.86130 0.40  
0 12  1.98900 0.30  
0 13  2.11158 0.10  
0 14  2.22980 0.25  
0 15  2.34495 0.15  
0 16  2.45690 0.15  
0 17  2.56580 0.30  
0 18  2.67250 0.30  
0 19  2.77610 0.40  
0 20  2.87795 0.40  
0 21  2.97730 0.30  
0 22  3.07470 0.20  
0 23  3.17070 0.15  
0 24  3.26550 0.20  
1  2  0.68020 0.20  
1  3  0.93997 0.20  
1  4  1.17278 0.20  
1  5  1.37000 0.20  
1  6  1.52150 0.20  
1  7  1.65455 0.15  
1  8  1.79800 0.20  
1  9  1.96250 0.40  
1 10  2.14650 0.50  
1 14  2.97439 1.01  
2  3  1.24303 0.15  
2  4  1.37970 0.20  
2  5  1.51580 0.30  
2  6  1.68140 0.30  
2  7  1.86570 0.40  
2  8  2.05030 0.25  
2  9  2.22970 0.45  
2 10  2.40360 0.50  
2 11  2.57210 0.50  
2 12  2.73745 0.40  
2 13  2.89999 0.50  
3  1  0.94435 0.15  
3  2  1.10620 0.30  
3  6  2.54890 0.35  
3  7  2.68720 1.20  
3  8  2.81980 0.60  
3  9  2.95100 0.60  
4  1  1.41160 0.20  
4  2  1.72165 0.20  
4  3  2.04835 0.15  
4  4  2.27860 0.30  
4  5  2.41150 0.50  
5  2  2.09080 0.30  
5  3  2.16880 0.20  
5  4  2.37925 0.15  
5  5  2.70360 0.20  
5  6  3.01155 0.15  
5  7  3.29220 0.30  
5  8  3.52600 0.60  
5 12  4.69700 1.00  
6  1  1.98320 1.00  
6  3  2.82185 0.15  
6 10  4.21120 0.30  
7  2  2.52145 0.60  
7  4  3.41122 0.50  
7  5  3.65778 0.35  
7  6  3.95600 0.50  
7  7  4.23410 0.30  
8  1  2.87260 0.20  
8  5  4.16530 0.20  
8  7  4.64515 0.50  
9  2  3.23070 0.50  
9  3  3.55650 0.40  
9  4  3.87840 1.50  
9 14  6.76700 1.50  
10  2  4.04100 1.00 
11  4  4.76605 0.30 
11  5  5.07260 0.30 
11  6  5.34828 0.50 
12  8  6.13330 0.40 
12 12  7.44940 1.00 
13  1  4.49460 0.35 
13  2  4.84470 0.35 
13  3  5.19390 0.25 
14  4  5.54330 0.60 
14  9  7.34500 0.80 
15  3  6.03090 0.35 
15  4  6.32330 1.00 
16  5  6.83020 0.40 
16  6  7.14930 0.40 
16  7  7.47150 0.80 
17  1  6.12260 1.50 
17 12  9.14550 3.00 
17 13  9.42900 3.00 
18  2  6.53700 2.00 
18  3  6.88630 0.80 
18  4  7.23830 0.30 
19 10  9.35300 2.0
20  1  6.95400 1.5
20  2  7.36000 3.5
20  4  8.11800 2.0
20  5  8.46500 2.0
21  6  8.84950 1.0
21  7  9.17050 1.5
21  8  9.49200 3.0
22  1  7.82250 1.0
22  2  8.20000 2.0
23  4  8.93700 1.0
23  5  9.29000 0.5
25  1  8.65900 5.0
25  2  9.02600 5.0
27  1  9.49400 2.0
27  2  9.87200 1.5
27  4 10.58299 5.0
28  5 10.95500 5.0
28  6 11.30100 5.0
30  3 11.05555 5.0
32  4 12.26010 5.0
